student_code,Course,Section,Year,YearSub,school_code
201060058,388310,2,2018,2017,61
201660128,244310,4,2018,2017,60
201460002,244310,2,2018,2017,60
200760203,972300,3,2018,2017,62
201060095,430000,3,2018,2017,62
200660113,430000,1,2018,2017,62
201762008,431000,2,2018,2017,62
201460042,244310,4,2018,2017,60
201560141,200310,1,2018,2017,60
201760202,200310,1,2018,2017,60
201761048,366310,1,2018,2017,61
201060068,431000,2,2018,2017,62
201460099,366310,3,2018,2017,61
201060057,38831R,1,2018,2017,61
201060153,43100P,1,2018,2017,62
200960045,43200P,1,2018,2017,62
201760172,200310,3,2018,2017,60
201661028,377310,3,2018,2017,61
201460046,377310,1,2018,2017,61
201461014,972300,1,2018,2017,62
201561023,43000P,1,2018,2017,62
201560136,366310,1,2018,2017,61
201760032,211310,2,2018,2017,60
201460150,972306,1,2018,2017,61
200760154,43100R,1,2018,2017,62
201360118,355310,4,2018,2017,61
201560043,233310,3,2018,2017,60
201460081,366310,2,2018,2017,61
201260277,355310,2,2018,2017,61
201460102,244310,3,2018,2017,60
200760005,433000,1,2018,2017,62
200960001,430000,3,2018,2017,62
201160065,377310,3,2018,2017,61
201660060,355310,3,2018,2017,61
201660112,211310,1,2018,2017,60
201662020,435000,1,2018,2017,62
200760086,388310,3,2018,2017,61
201060027,38831R,3,2018,2017,61
201760169,200310,1,2018,2017,60
201060154,430000,2,2018,2017,62
201261012,972300,4,2018,2017,62
201761032,43000R,1,2018,2017,62
201560036,222310,4,2018,2017,60
201760049,211310,1,2018,2017,60
201762021,431000,3,2018,2017,62
201460009,244310,2,2018,2017,60
200660267,432000,3,2018,2017,62
201760130,233310,4,2018,2017,60
200960010,43000R,1,2018,2017,62
201760048,244310,3,2018,2017,60
200660299,432000,3,2018,2017,62
201260265,355310,4,2018,2017,61
201360028,972305,1,2018,2017,61
200660021,433000,1,2018,2017,62
200960142,972306,1,2018,2017,61
201660056,222310,3,2018,2017,60
200960113,38831R,1,2018,2017,61
201060154,431000,3,2018,2017,62
200660247,433000,1,2018,2017,62
200760095,43100P,1,2018,2017,62
201460086,211310,1,2018,2017,60
201560124,244310,2,2018,2017,60
201761009,388310,3,2018,2017,61
201760088,200310,4,2018,2017,60
200960146,377310,1,2018,2017,61
201460047,366310,1,2018,2017,61
201660006,222310,3,2018,2017,60
201060026,430000,1,2018,2017,61
201760005,222310,4,2018,2017,60
201662020,431000,2,2018,2017,62
201560022,233310,2,2018,2017,60
200660032,430000,2,2018,2017,62
200960013,43000P,1,2018,2017,62
201660025,222310,3,2018,2017,60
201762002,431000,2,2018,2017,62
201761017,377310,1,2018,2017,61
